Companies,URL,Description,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Advanced Mechanical Systems,amstexas.com,"Advanced Mechanical Systems is a manufacturer's representative firm focused on water, steam, and condensate products in the commercial sector. The company provides services such as pump repair, fire pump testing, steam system analysis, laser alignment, and parts sales. Advanced Mechanical Systems is involved in projects that include constructing new facilities, renovating existing buildings, and upgrading equipment efficiency. It was founded in 1987 and is based in San Antonio, Texas.",Security Products,Security Systems,,,,United States,,,,,,,0%,Alive / Active,1987,,
Environmental Improvements,ei2water.com,"Environmental Improvements, Inc. provides treatment solutions for the water and wastewater market as a manufacturer's representative. The company offers services such as equipment selection, application consulting, cost estimating, and support for treatment systems. It serves the industry with a focus on private and public sector clients. It was founded in 1966 and is based in Houston, Texas.",,,,,,United States,,,,,,,-2.50%,Alive / Active,1966,,
Hydronic Energy,hydronicenergy.com,"Hydronic Energy is a manufacturers' representative for plumbing and heating products in the hydronic heating and piping markets. The company provides products such as pumps, heat exchangers, tanks, water heaters, boilers, cooling towers, coils, flow control valves, pre-insulated piping systems, radiant floor heat, and accessory items. Hydronic Energy serves mechanical contractors, educational institutions, industrial businesses, and plumbing-heating wholesalers. It was founded in 1978 and is based in Urbandale, Iowa.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1978,,
Arry Nano,arry-nano.com,"Arry Nano is a professional supplier of a wide variety of nano materials, ranging in quantities from grams to tons, which support their academic research purposes or industrial development. The company's representative products are carbon nanotubes (CNTs) and nano elements as well as nano oxides (rare earth, metal, and non-metal).",Basic Materials,,"Advanced Materials, Hydrogen Energy Tech",,,Hong Kong,,,,,,,0%,Alive / Active,,,
Canyon Systems,canyonsystemsinc.com,"Canyon Systems is a manufacturer's representative firm focused on the water and wastewater industry, offering services from conceptual design to equipment sizing, selection, start-up, and post-sale support, including parts and service. It is based in Tempe, Arizona.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Soderholm & Associates,soderholmassociates.com,"Soderholm & Associates is a manufacturers' representative agency specializing in the plumbing, HVAC, and water treatment industries. The company offers market-managing representation, technical support, and customer service, primarily serving wholesalers, contractors, mechanical engineers, and builders. Soderholm & Associates collaborates with various industry manufacturers to provide products and services. It was founded in 1959 and is based in Ramsey, Minnesota.",Consulting & Outsourcing,,,,,United States,,,,,,,-2.56%,Alive / Active,1959,,
Northeast Water Services,ne-water.com,"Northeast Water Services, Inc. (N.E.W.S.) is a Manufacturer's Representative/Distribution organization that specializes in ultrapure and industrial water treatment. The company provides products for the production of high purity water, including filtration, reverse osmosis, and analytical instrumentation, targeting sectors such as semiconductor fabrication, pharmaceuticals, biotech, and power generation. N.E.W.S. also offers analytical testing and validation services to improve system efficiency and maintain water quality. It is based in Canton, Massachusetts.",Pharmaceuticals / Drugs,,,,,United States,,,,,,,0%,Alive / Active,,,
Mag Systems,mag-systems.net,"Mag Systems is a manufacturer's representative in process control instrumentation and flow measurement technology within the municipal water and wastewater sectors. The company provides service for equipment used in water plants, pumping stations, lift stations, and wastewater treatment facilities. Mag Systems serves end-users, contractors, and engineers involved in water and wastewater plant projects. It is based in Saddle Brook, New Jersey.",Chips & Semiconductors,Semiconductors,,,,United States,,,,,,,100%,Alive / Active,,,
DanCo Systems,dancosystems.com,"Danco Systems is a manufacturer’s representative and supplier in process control and instrumentation across various industries. The company provides products such as hardware instrumentation, software for process control, data acquisition, and reporting systems for sectors including power, chemical, automotive, and water treatment. Danco Systems serves markets like oil and gas, manufacturing, and environmental management. It was founded in 1992 and is based in Shawnee, Kansas.",Internet Software & Services,,,,,United States,,,,,,,8.33%,Alive / Active,1992,,
Associated Marketing,associatedmarketing.net,"Associated Marketing is an independent manufacturers representative specializing in sales and logistics within the plumbing, HVAC, and mechanical industries. The company provides products including water heating systems, HVAC pumps, mechanical support systems, and plumbing and electrical components. Associated Marketing acts as a sales agent and logistics partner, offering technical advice, industry education, and participating in trade shows and demonstrations to understand industry developments. It was founded in 1981 and is based in Philadelphia, Pennsylvania.","Advertising, Marketing & PR",,,,,United States,,,,,,,9.09%,Alive / Active,1981,,
J.B. O'Connor Co,jboconnor.com,"J.B. O'Connor Co. is a manufacturer's representative agency that focuses on plumbing and heating products. The company provides various energy and water efficient solutions for commercial building applications. It serves the residential and commercial sectors, including architects, designers, facilities, wholesalers, plumbing contractors, builders, engineers, end users, and mechanical contractors. It was founded in 1966 and is based in Lawrence, Pennsylvania.","Advertising, Marketing & PR",,,,,United States,,,,,,,-20%,Alive / Active,1966,,
F.J. NUGENT & ASSOCIATES,nugentco.com,"F.J. Nugent & Associates is a Manufacturer's Representative organization that operates in the water and wastewater industry. The company provides products including pumps, valves, and wastewater process equipment, along with services such as on-site and in-house repairs. They serve the water and wastewater sectors with various equipment and support services. It was founded in 1996 and is based in Sanford, Florida.",,,,,,United States,,,,,,,-10%,Alive / Active,1996,,
BAU,bauhopkins.com,"B.A.U. Hopkins is a manufacturers representatives organization for the capital goods market. The company offers products including chemical control equipment, process equipment, and instrumentation, primarily serving the municipal water treatment sector. It was founded in 1988 and is based in Plainville, Massachusetts.",Chips & Semiconductors,,,,,United States,,,,,,,14.29%,Alive / Active,1988,,
Gunns Restoration,gunnsrestoration.com,"Gunns Restoration restores soft goods, electronics, and appliances affected by disasters. The company provides services that include cleaning and restoring items damaged by fire, smoke, water, mold, and other contaminants, as well as assistance with claim resolution and total loss inventories. Gunns Restoration serves the insurance industry, catering to the needs of insurance adjusters and claims representatives. It was founded in 2000 and is based in Grand Prairie, Texas.",Insurance,,,,,United States,,,,,,,-11.11%,Alive / Active,2000,,
VPISC,vpis.vn,"Vpisc supplies equipment and spare parts for the marine and industrial sectors, including shipping, shipbuilding, seaport, thermal power plants, steel, and cement plants. The company provides products such as ballast water management systems, sewage treatment plants for ships, and hydraulic pumps, and acts as a sales representative for marine equipment manufacturers and providers of IHM inspection and maintenance services. It is based in Hanoi, Vietnam.",,,,,,Vietnam,,,,,,,100%,Alive / Active,,,
Bornquist,bornquist.com,"Bornquist is a representative firm in HVAC, Plumbing, Industrial, and Architectural markets. The company provides products and services related to fluid handling applications, including pumping systems, heat transfer applications, steam and condensate systems, controls, system balance products, water heaters, and variable speed drives. Bornquist also provides post-sale services with technicians available 24/7. It was founded in 1937 and is based in Chicago, Illinois.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1937,,
Consep,consep.com.au,"Consep is a provider of engineering solutions in the mining, construction, and water treatment sectors. The company offers products and services including solids concentration and separation solutions for mineral processing, representative sampling equipment, construction site hoisting systems, and water and wastewater treatment technologies. Consep serves a variety of clients with industrial equipment and engineering solutions, supported by in-house fabrication and support services. It was founded in 1990 and is based in Wetherill Park, New South Wales.",,,,,,Australia,,,,,,,1.25%,Alive / Active,1990,,
Giga Systems,giga-sys.com,"Giga Systems is a Manufacturer's Representative that provides equipment and solutions in the environmental, research, educational, and industrial sectors. The company includes water quality monitoring systems, environmental monitoring systems, and instrumentation for the oil and gas industry, along with consultancy, installation, and maintenance services. Giga Systems serves clients in Egypt, the Middle East, and Africa. It was founded in 2004 and is based in Egypt.",,,,,,Egypt,,,,,,,0%,Alive / Active,2004,,
Shrewsberry & Associates,shrewsusa.com,"Shrewsberry & Associates is an engineering consulting firm that specializes in civil engineering, landscape architecture, and construction services. The company provides services including engineering design, landscape architecture, construction management, and owner's representative services, serving sectors like aviation, transportation, and water resources. It was founded in 2001 and is based in Indianapolis, Indiana.",,,,,,United States,,,,,,,3.92%,Alive / Active,2001,,
Mulcahy Company,mulcahyco.com,"Mulcahy Company is a manufacturer representative specializing in the heating, air conditioning, and plumbing industries. The company offers a range of products including centrifugal pumps, boilers, cooling towers, filtration systems, heat exchangers, and plumbing system equipment, aimed at providing hydronic system solutions and water movement needs. Mulcahy primarily serves the plumbing and HVAC sectors. It was founded in 1929 and is based in Eagan, Minnesota.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1929,,
NH Yates & Co,nhyates.com,"NH Yates & Co is a manufacturer's representative firm specializing in HVAC and plumbing products within the construction and building services industry. The company offers a range of products including residential and commercial water heaters, boilers, and push-to-connect plumbing solutions. NH Yates & Co serves the HVAC and plumbing sectors. It was founded in 1949 and is based in Hunt Valley, Maryland.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1949,,
Grupo Rotele,rotele.com.br,"Grupo Rotele is a beverage distribution company operating as an Ambev representative. The company distributes various beverages including beers, sodas, juices, energy drinks, and waters. Grupo Rotele primarily serves the beverage retail and wholesale sectors. It is based in Campo Grande, Brazil.",,,,,,Brazil,,,,,,,29.52%,Alive / Active,,,
Valser Service 1961,valserservice.ch,"Valser Service 1961 specializes in beverage distribution and operates in the food and beverage industry. The company offers various drinks including mineral water, flavored water, soft drinks, fruit juices, coffee, tea, energy drinks, and alcoholic beverages, available for home delivery without a minimum order value. Valser Service 1961 provides a deposit return system and service representatives for customer support. It was founded in 1961 and is based in Switzerland.",,,,,,Switzerland,,,,,,,60%,Alive / Active,1961,,
ASAC Agrupació de Serveis dAigua de Catalunya,asac.es,"ASAC Agrupació de Serveis d'Aigua de Catalunya is a professional association representing entities managing integral water cycle services in the water sector. The organization serves as a representative body for its members, addressing challenges faced by urban water services. ASAC's members include various entities providing water supply and sanitation services, managing portions of Catalonia's water and wastewater systems. It is based in Terrassa, Spain.",,,,,,Spain,,,,,,,50%,Alive / Active,,,
STROJNIK,e-strojnik.si,"STROJNIK is a company focused on industrial equipment for sectors including industry, ecology, and bio-energy. The company provides products such as gear drives, couplings, pumps, mechanical wastewater treatment equipment, and sorting technology, along with solutions for bio-gas production. STROJNIK acts as the representative for various manufacturers in the industry. It was founded in 2012 and is based in Maribor, Slovenia.",Manufacturing,,,,,Slovenia,,,,,,,0%,Alive / Active,2012,,
Engineered Sales Company,engineeredsalesco.com,"Engineered Sales Company operates in industrial process automation, combustion control, and environmental safety monitoring within the manufacturing representative sector. The company provides analyzers, controls, instruments, and valves for monitoring and controlling industrial processes. Engineered Sales Company serves sectors including food & beverage, water & wastewater, and general industrial markets. It was founded in 1948 and is based in Bloomington, Minnesota.",Machinery & Equipment,,,,,United States,,,,,,,16.67%,Alive / Active,1948,,
Wagner Equipment Company,wagnerequipmentco.com,"Wagner Equipment Company is a manufacturer's representative firm focusing on industrial HVAC and cooling solutions. The company provides services including applied HVAC engineering, industrial process chilled water systems, and maintenance for cooling systems. Wagner Equipment Company serves sectors that require mission-critical infrastructure and data center cooling. It was founded in 1957 and is based in Indianapolis, Indiana.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1957,,
MESACO,mesaco.com,"MESACO is a manufacturer's representative of industrial power transmission products. The company provides products including gear boxes, industrial chains, bearings, lubricants, speed reducers, and screw jacks for maintenance, repair, and operations (MRO) and original equipment manufacturing (OEM). MESACO serves industries such as aggregate, automotive, food and beverage, forestry, material handling, packaging, recycling, and water and waste management. It was founded in 1970 and is based in Barrie, Ontario.",Manufacturing,,,,,Canada,,,,,,,0%,Alive / Active,1970,,
Fox Sales,foxsales.net,"Fox Sales is a manufacturer's representative in the commercial and industrial plumbing industry. The company provides engineered plumbing products including fixtures, drainage systems, and water conservation technology. Fox Sales caters to sectors within the plumbing industry with products including ADA-compliant fixtures, emergency fixtures, and thermostatic water temperature controllers. It was founded in 1973 and is based in Nashville, Tennessee.","Advertising, Marketing & PR",,,,,United States,,,,,,,0%,Alive / Active,1973,,
Björn Lüttmann,bjoern-luettmann.de,"Björn Lüttmann is a political representative focused on social policy within the public sector. His services include advocating for affordable housing, improving public transportation, ensuring community safety, supporting educational institutions, developing water tourism, and advancing agriculture in his constituency. He primarily serves the residents of Oranienburg, Leegebruch, and Liebenwalde. It is based in Oranienburg, Germany.",Consulting & Outsourcing,,,,,Germany,,,,,,,0%,Alive / Active,,,
Lighthouse Sales Group,lighthousesalesgroup.com,"Lighthouse Sales Group is a Manufacturer's Representative Company focusing on custom plastic and metal components for different industries. They provide services such as sourcing engineered component solutions, precision machining, injection molding, and fabrication processes to fulfill OEM needs. The company serves sectors including water treatment, hydraulics, electronics, and automotive. It was founded in 2020 and is based in Loves Park, Illinois.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,2020,,
Stone Sales,stonesalesagency.com,"Stone Sales is an electrical manufacturers' representative agency that provides technical and engineering support within the electrical industry. The company offers services that include project risk mitigation, lead time reduction, and custom electrical solutions. Stone Sales serves sectors such as commercial construction, industrial construction, oil and gas, renewable energy, water treatment, and data centers. It is based in Joplin, Missouri.",,,,,,United States,,,,,,,57.14%,Alive / Active,,,
HEYWARD ATLANTA,heywardatlanta.com,"HEYWARD ATLANTA is a manufacturers' representative in the water and wastewater treatment industry. The company offers equipment, systems, and services designed to meet the needs of water professionals. HEYWARD ATLANTA has over 100 years of combined experience in the field. It is based in Tucker, Georgia.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Sundew Thailand Co,sundewthai.co.th,"Sundew Thailand Co specializes in the production of fruit juices and mineral water, serving the beverage industry. The company offers a range of fruit juice and drinking water products, catering to consumers seeking beverage options. Sundew Thailand primarily serves the educational sector, providing beverages to schools and supporting community sales representatives. It was founded in 1986 and is based in Thailand.",,,,,,Thailand,,,,,,,0%,Alive / Active,1986,,
UTILITY SOLUTIONS ASSOCIATES,utilitysolutionsassociates.com,"Utility Solutions Associates is a Manufacturer's Representative organization focused on the Water and Wastewater markets. The company offers various products and services for utilities, engineers, and contractors. Utility Solutions Associates primarily serves the waterworks and wastewater sectors within its regional footprint. It is based in Lenexa, Kansas.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Mosaic Water Systems,mosaicwatersystems.com,"Mosaic Water Systems provides industrial water treatment and wastewater solutions across various sectors. The company offers services including project support as manufacturer's representatives, equipment distribution, and process design consulting, targeting engineers, consultants, and end-users. Mosaic Water Systems works with water treatment equipment manufacturers to provide solutions that align with project criteria such as system performance, budget, and technical specifications. It was founded in 2020 and is based in Broomfield, Colorado.",,,,,,United States,,,,,,,50%,Alive / Active,2020,,
